Account ID,Stage,Status,Timestamp
bens_electric,Pipeline A (Demo),Completed,2026-03-04 23:11:39
bens_electric,Pipeline B (Onboarding),Completed,2026-03-04 23:11:39
bens_electric,Pipeline A (Demo),Completed,2026-03-04 23:26:38
bens_electric,Pipeline B (Onboarding),Completed,2026-03-04 23:26:38
bens_electric,Pipeline A (Demo),Completed,2026-03-04 23:27:31
bens_electric,Pipeline B (Onboarding),Completed,2026-03-04 23:27:31
bens_electric,Pipeline A (Demo),Completed,2026-03-04 23:37:18
bens_electric,Pipeline B (Onboarding),Completed,2026-03-04 23:37:18
bens_electric,Pipeline A (Demo),Completed,2026-03-05 00:20:48
bens_electric,Pipeline B (Onboarding),Completed,2026-03-05 00:20:48
bens_electric,Pipeline A (Demo),Completed,2026-03-05 00:44:58
bens_electric,Pipeline B (Onboarding),Completed,2026-03-05 00:44:58
bens_electric,Pipeline A (Demo),Completed,2026-03-05 01:01:32
bens_electric,Pipeline B (Onboarding),Completed,2026-03-05 01:01:32
bens_electric,Pipeline A (Demo),Completed,2026-03-05 01:01:57
bens_electric,Pipeline B (Onboarding),Completed,2026-03-05 01:01:57
bens_electric,Pipeline A (Demo),Completed,2026-03-05 01:02:27
bens_electric,Pipeline B (Onboarding),Completed,2026-03-05 01:02:27
